"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.degree","results.nprune","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.Bare.land.Sensitivity","testCM.Class.Reproductive.Sensitivity","testCM.Class.Ripening.Sensitivity","testCM.Class.Vegetative.Sensitivity","testCM.Class.Bare.land.Specificity","testCM.Class.Reproductive.Specificity","testCM.Class.Ripening.Specificity","testCM.Class.Vegetative.Specificity","testCM.Class.Bare.land.Pos.Pred.Value","testCM.Class.Reproductive.Pos.Pred.Value","testCM.Class.Ripening.Pos.Pred.Value","testCM.Class.Vegetative.Pos.Pred.Value","testCM.Class.Bare.land.Neg.Pred.Value","testCM.Class.Reproductive.Neg.Pred.Value","testCM.Class.Ripening.Neg.Pred.Value","testCM.Class.Vegetative.Neg.Pred.Value","testCM.Class.Bare.land.Precision","testCM.Class.Reproductive.Precision","testCM.Class.Ripening.Precision","testCM.Class.Vegetative.Precision","testCM.Class.Bare.land.Recall","testCM.Class.Reproductive.Recall","testCM.Class.Ripening.Recall","testCM.Class.Vegetative.Recall","testCM.Class.Bare.land.F1","testCM.Class.Reproductive.F1","testCM.Class.Ripening.F1","testCM.Class.Vegetative.F1","testCM.Class.Bare.land.Prevalence","testCM.Class.Reproductive.Prevalence","testCM.Class.Ripening.Prevalence","testCM.Class.Vegetative.Prevalence","testCM.Class.Bare.land.Detection.Rate","testCM.Class.Reproductive.Detection.Rate","testCM.Class.Ripening.Detection.Rate","testCM.Class.Vegetative.Detection.Rate","testCM.Class.Bare.land.Detection.Prevalence","testCM.Class.Reproductive.Detection.Prevalence","testCM.Class.Ripening.Detection.Prevalence","testCM.Class.Vegetative.Detection.Prevalence","testCM.Class.Bare.land.Balanced.Accuracy","testCM.Class.Reproductive.Balanced.Accuracy","testCM.Class.Ripening.Balanced.Accuracy","testCM.Class.Vegetative.Balanced.Accuracy"
"97","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",1,194,0.666037735849057,0.54903374675512,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"98","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",1,196,0.666037735849057,0.54903374675512,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"99","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",1,198,0.666037735849057,0.54903374675512,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"100","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",1,200,0.666037735849057,0.54903374675512,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"101","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,2,0.462264150943396,0.254236116596888,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"102","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,4,0.658490566037736,0.538939941556444,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"103","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,6,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"104","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,8,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"105","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,10,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"106","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,12,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"107","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,14,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"108","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,16,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"109","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,18,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"110","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,20,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"111","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,22,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"112","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,24,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"113","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,26,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
"114","Phase ~ LSWI + EVI","fda",530,224,2,"noProc",2,28,0.667924528301887,0.551859485272569,0.616071428571429,0.480362537764351,0.548953516032298,0.680073555170329,0.330357142857143,2.10187387472061e-18,NA,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.902439024390244,0.923076923076923,0.823863636363636,0.833333333333333,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.88622754491018,0.884210526315789,0.889570552147239,0.822368421052632,0.719298245614035,0.588235294117647,0.491803278688525,0.652777777777778,0.683333333333333,0.476190476190476,0.625,0.635135135135135,0.700854700854701,0.526315789473684,0.55045871559633,0.643835616438356,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0892857142857143,0.133928571428571,0.209821428571429,0.254464285714286,0.151785714285714,0.272321428571429,0.321428571428571,0.792886178861789,0.6996336996337,0.724431818181818,0.734234234234234
